Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
31,"(3, 0, 4, 4, 5)",199.39,235.90,3,1.98,0.00,1.50,0,3.71,0.00,10.16,4,4.12,38.72,34.59,4,5.94,0.00,6.73,5,24.21,160.67,130.63
32,"(4, 1, 0, 5, 0)",0.00,224.63,4,1.57,0.00,-0.06,1,2.79,0.00,7.37,0,7.21,0.00,27.38,5,13.20,0.00,-6.47,0,39.47,0.00,91.16
33,"(5, 2, 1, 6, 1)",93.63,318.26,5,0.57,9.74,9.11,2,1.66,0.00,5.71,1,6.10,0.00,21.28,6,14.10,83.89,63.32,1,27.45,0.00,63.71
34,"(0, 3, 2, 0, 2)",0.00,318.26,0,1.78,0.00,7.33,3,3.92,0.00,1.79,2,5.88,0.00,15.39,0,8.18,0.00,55.14,2,21.51,0.00,42.20
35,"(1, 4, 3, 1, 3)",0.00,293.02,1,0.73,0.00,6.59,4,4.00,0.00,-2.22,3,8.01,0.00,7.38,1,11.66,0.00,43.48,3,27.19,0.00,15.01
36,"(2, 5, 4, 2, 4)",21.57,115.20,2,1.93,0.00,4.66,5,0.21,21.57,19.15,4,6.98,0.00,0.40,2,11.22,0.00,32.26,4,20.26,0.00,-5.25
37,"(3, 0, 5, 3, 5)",160.09,275.29,3,0.62,0.00,4.04,0,2.75,0.00,16.40,5,8.24,0.00,-7.84,3,16.12,0.00,16.13,5,35.19,160.09,119.65
38,"(4, 1, 6, 4, 0)",46.55,228.21,4,3.12,0.00,0.92,1,4.29,0.00,12.12,6,7.44,46.55,31.27,4,8.39,0.00,7.74,0,25.98,0.00,93.67
39,"(5, 2, 0, 5, 1)",0.00,228.21,5,1.17,0.00,-0.25,2,2.25,0.00,9.87,0,8.94,0.00,22.33,5,14.59,0.00,-6.85,1,16.48,0.00,77.19
40,"(6, 3, 1, 6, 2)",94.19,322.41,6,1.22,9.92,8.45,3,4.58,0.00,5.29,1,5.93,0.00,16.40,6,14.45,84.27,62.97,2,31.98,0.00,45.21
41,"(0, 4, 2, 0, 3)",0.00,300.83,0,2.10,0.00,6.35,4,4.41,0.00,0.88,2,2.91,0.00,13.49,0,15.12,0.00,47.85,3,22.63,0.00,22.58
42,"(1, 5, 3, 1, 4)",0.00,140.74,1,1.47,0.00,4.88,5,1.30,0.00,-0.42,3,8.25,0.00,5.24,1,13.12,0.00,34.73,4,20.62,0.00,1.96
43,"(2, 6, 4, 2, 5)",19.77,113.97,2,3.79,0.00,1.09,6,3.44,19.77,15.91,4,7.96,0.00,-2.72,2,18.59,0.00,16.15,5,25.56,0.00,-23.60
44,"(3, 0, 5, 3, 6)",219.87,333.84,3,3.30,0.00,-2.21,0,3.76,0.00,12.15,5,6.83,41.43,31.88,3,17.96,0.00,-1.81,6,26.36,178.44,128.47
45,"(4, 1, 0, 4, 0)",91.12,330.77,4,0.83,11.89,8.85,1,5.33,0.00,6.82,0,4.63,0.00,27.25,4,14.04,79.23,63.38,0,23.29,0.00,105.18
46,"(0, 2, 1, 0, 1)",0.00,330.77,0,2.42,0.00,6.43,2,3.66,0.00,3.16,1,2.27,0.00,24.98,0,17.33,0.00,46.04,1,23.60,0.00,81.58
47,"(1, 3, 2, 1, 2)",0.00,330.77,1,1.58,0.00,4.86,3,3.18,0.00,-0.02,2,10.39,0.00,14.59,1,12.02,0.00,34.02,2,23.91,0.00,57.68
48,"(2, 4, 3, 2, 3)",19.38,330.37,2,1.50,0.00,3.36,4,0.88,19.38,18.47,3,6.88,0.00,7.70,2,12.21,0.00,21.81,3,26.02,0.00,31.65
49,"(3, 0, 4, 3, 4)",0.00,110.50,3,0.40,0.00,2.96,0,2.05,0.00,16.42,4,9.39,0.00,-1.69,3,11.12,0.00,10.69,4,22.45,0.00,9.20
