Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
0,"(0, 0, 0, 0, 0)",0.00,0.00,0,9.50,0.00,50.50,0,8.87,0.00,51.13,0,11.00,0.00,49.00,0,11.33,0.00,48.67,0,9.00,0.00,51.00
1,"(1, 1, 1, 1, 1)",0.00,0.00,1,10.84,0.00,39.66,1,7.20,0.00,43.93,1,10.04,0.00,38.96,1,9.95,0.00,38.72,1,9.66,0.00,41.34
2,"(2, 2, 2, 2, 2)",0.00,0.00,2,15.01,0.00,24.64,2,13.87,0.00,30.06,2,8.44,0.00,30.52,2,18.35,0.00,20.37,2,5.90,0.00,35.44
3,"(3, 3, 3, 3, 3)",0.00,0.00,3,9.46,0.00,15.19,3,11.70,0.00,18.37,3,12.32,0.00,18.21,3,9.67,0.00,10.71,3,6.45,0.00,28.99
4,"(4, 4, 4, 4, 4)",0.00,0.00,4,13.02,0.00,2.16,4,9.40,0.00,8.97,4,4.56,0.00,13.65,4,14.26,0.00,-3.56,4,13.16,0.00,15.83
5,"(5, 5, 5, 5, 5)",63.56,63.56,5,14.27,0.00,-12.11,5,10.60,0.00,-1.63,5,10.81,0.00,2.84,5,15.67,63.56,44.33,5,11.81,0.00,4.02
6,"(6, 6, 6, 0, 6)",133.74,197.30,6,14.03,72.11,45.97,6,9.19,61.63,50.81,6,10.91,0.00,-8.07,0,9.22,0.00,35.11,6,15.10,0.00,-11.08
7,"(0, 0, 7, 1, 7)",139.16,336.46,0,11.38,0.00,34.59,0,15.45,0.00,35.35,7,12.03,68.07,47.97,1,9.95,0.00,25.17,7,12.20,71.08,47.80
8,"(1, 1, 0, 2, 0)",0.00,336.46,1,7.40,0.00,27.19,1,10.94,0.00,24.42,0,15.00,0.00,32.97,2,7.93,0.00,17.24,0,6.34,0.00,41.46
9,"(2, 2, 1, 3, 1)",0.00,336.46,2,8.68,0.00,18.51,2,9.21,0.00,15.20,1,4.22,0.00,28.75,3,14.15,0.00,3.09,1,8.34,0.00,33.12
10,"(3, 3, 2, 4, 2)",0.00,272.90,3,11.47,0.00,7.05,3,18.87,0.00,-3.67,2,9.78,0.00,18.97,4,13.33,0.00,-10.24,2,11.74,0.00,21.39
11,"(4, 4, 3, 5, 3)",133.90,273.06,4,5.19,0.00,1.86,4,9.09,63.67,50.91,3,11.72,0.00,7.25,5,12.77,70.24,47.23,3,10.84,0.00,10.55
12,"(5, 0, 4, 0, 4)",0.00,133.90,5,8.13,0.00,-6.27,0,11.12,0.00,39.79,4,12.83,0.00,-5.58,0,12.09,0.00,35.15,4,8.56,0.00,1.99
13,"(6, 1, 5, 1, 5)",131.86,265.76,6,9.79,66.27,50.21,1,11.25,0.00,28.54,5,8.18,65.58,51.82,1,8.57,0.00,26.57,5,9.79,0.00,-7.80
14,"(0, 2, 0, 2, 6)",67.80,333.56,0,9.54,0.00,40.67,2,9.31,0.00,19.23,0,8.27,0.00,43.55,2,8.44,0.00,18.14,6,11.24,67.80,48.76
15,"(1, 3, 1, 3, 0)",0.00,333.56,1,9.92,0.00,30.74,3,12.01,0.00,7.23,1,9.67,0.00,33.89,3,11.79,0.00,6.34,0,13.94,0.00,34.81
16,"(2, 4, 2, 4, 1)",0.00,199.66,2,9.81,0.00,20.93,4,8.97,0.00,-1.75,2,5.95,0.00,27.93,4,6.88,0.00,-0.54,1,13.29,0.00,21.53
17,"(3, 5, 3, 5, 2)",122.28,321.94,3,13.38,0.00,7.55,5,9.07,61.75,50.93,3,7.22,0.00,20.71,5,8.56,60.54,51.44,2,4.15,0.00,17.37
18,"(4, 0, 4, 0, 3)",0.00,190.08,4,9.26,0.00,-1.71,0,9.73,0.00,41.20,4,11.28,0.00,9.43,0,7.68,0.00,43.76,3,9.47,0.00,7.90
19,"(5, 1, 5, 1, 4)",61.71,183.99,5,17.92,61.71,42.08,1,13.97,0.00,27.23,5,4.69,0.00,4.74,1,8.55,0.00,35.21,4,10.07,0.00,-2.17
20,"(0, 2, 6, 2, 5)",62.17,246.16,0,13.03,0.00,29.05,2,14.62,0.00,12.61,6,6.97,0.00,-2.23,2,15.09,0.00,20.12,5,14.05,62.17,45.95
21,"(1, 3, 7, 3, 0)",62.23,308.39,1,4.83,0.00,24.22,3,7.07,0.00,5.54,7,9.83,62.23,50.17,3,6.83,0.00,13.30,0,7.57,0.00,38.38
22,"(2, 4, 0, 4, 1)",0.00,186.11,2,5.71,0.00,18.51,4,6.59,0.00,-1.05,0,10.67,0.00,39.50,4,8.34,0.00,4.96,1,8.38,0.00,30.00
23,"(3, 5, 1, 5, 2)",61.05,247.15,3,8.41,0.00,10.11,5,7.77,61.05,52.23,1,9.22,0.00,30.27,5,14.42,0.00,-9.46,2,9.13,0.00,20.87
24,"(4, 0, 2, 6, 3)",69.46,254.90,4,11.50,0.00,-1.39,0,6.42,0.00,45.82,2,3.35,0.00,26.92,6,3.91,69.46,56.09,3,11.55,0.00,9.31
25,"(5, 1, 3, 0, 4)",61.39,254.12,5,12.43,61.39,47.57,1,8.66,0.00,37.16,3,13.57,0.00,13.35,0,2.14,0.00,53.95,4,9.87,0.00,-0.56
26,"(0, 2, 4, 1, 5)",60.56,252.46,0,7.45,0.00,40.13,2,12.76,0.00,24.40,4,6.22,0.00,7.13,1,7.85,0.00,46.11,5,11.50,60.56,48.50
27,"(1, 3, 5, 2, 0)",0.00,252.46,1,14.97,0.00,25.16,3,8.33,0.00,16.07,5,10.60,0.00,-3.48,2,3.04,0.00,43.07,0,9.94,0.00,38.56
28,"(2, 4, 6, 3, 1)",63.48,254.89,2,10.29,0.00,14.87,4,11.87,0.00,4.20,6,13.13,63.48,46.87,3,13.88,0.00,29.19,1,14.74,0.00,23.82
29,"(3, 5, 0, 4, 2)",0.00,185.43,3,5.92,0.00,8.96,5,9.82,0.00,-5.62,0,4.06,0.00,42.81,4,7.19,0.00,22.00,2,9.86,0.00,13.97
30,"(4, 6, 1, 5, 3)",65.62,189.66,4,12.54,0.00,-3.58,6,13.44,65.62,46.56,1,9.52,0.00,33.28,5,10.44,0.00,11.56,3,5.43,0.00,8.54
31,"(5, 0, 2, 6, 4)",63.58,192.69,5,9.76,63.58,50.24,0,10.38,0.00,36.18,2,9.69,0.00,23.59,6,11.97,0.00,-0.41,4,5.82,0.00,2.72
32,"(0, 1, 3, 7, 5)",60.41,253.10,0,10.44,0.00,39.80,1,15.36,0.00,20.81,3,11.82,0.00,11.77,7,3.63,60.41,56.37,5,5.51,0.00,-2.79
33,"(1, 2, 4, 0, 6)",62.79,252.42,1,14.26,0.00,25.54,2,10.80,0.00,10.01,4,12.63,0.00,-0.86,0,10.80,0.00,45.57,6,10.69,62.79,49.31
34,"(2, 3, 5, 1, 0)",60.86,313.27,2,6.39,0.00,19.15,3,10.44,0.00,-0.43,5,9.76,60.86,50.24,1,6.42,0.00,39.15,0,4.80,0.00,44.51
35,"(3, 4, 0, 2, 1)",60.43,308.08,3,8.45,0.00,10.71,4,5.39,60.43,54.61,0,7.15,0.00,43.09,2,10.41,0.00,28.73,1,10.50,0.00,34.02
36,"(4, 0, 1, 3, 2)",0.00,244.50,4,4.97,0.00,5.74,0,9.15,0.00,45.46,1,9.90,0.00,33.20,3,10.24,0.00,18.49,2,10.58,0.00,23.44
37,"(5, 1, 2, 4, 3)",0.00,184.08,5,11.07,0.00,-5.33,1,9.14,0.00,36.32,2,7.56,0.00,25.63,4,12.34,0.00,6.15,3,10.16,0.00,13.27
38,"(6, 2, 3, 5, 4)",65.33,186.62,6,8.37,65.33,51.63,2,10.44,0.00,25.88,3,8.09,0.00,17.54,5,8.01,0.00,-1.86,4,7.03,0.00,6.24
39,"(0, 3, 4, 6, 5)",61.86,187.61,0,7.57,0.00,44.06,3,8.17,0.00,17.71,4,12.32,0.00,5.22,6,9.82,61.86,50.18,5,12.52,0.00,-6.28
40,"(1, 4, 5, 0, 6)",66.28,193.47,1,8.04,0.00,36.02,4,10.22,0.00,7.49,5,11.62,0.00,-6.40,0,12.71,0.00,37.48,6,6.69,66.28,53.31
41,"(2, 5, 6, 1, 0)",66.40,259.87,2,3.93,0.00,32.09,5,13.65,0.00,-6.16,6,9.76,66.40,50.24,1,12.24,0.00,25.23,0,12.00,0.00,41.31
42,"(3, 6, 0, 2, 1)",66.16,326.03,3,15.96,0.00,16.13,6,3.82,66.16,56.18,0,8.58,0.00,41.66,2,4.15,0.00,21.08,1,10.12,0.00,31.19
43,"(4, 0, 1, 3, 2)",0.00,260.70,4,9.93,0.00,6.19,0,10.76,0.00,45.42,1,10.29,0.00,31.37,3,15.46,0.00,5.62,2,4.83,0.00,26.36
44,"(5, 1, 2, 4, 3)",0.00,198.84,5,6.30,0.00,-0.10,1,15.65,0.00,29.77,2,14.46,0.00,16.91,4,5.15,0.00,0.47,3,11.35,0.00,15.01
45,"(6, 2, 3, 5, 4)",60.10,192.66,6,6.68,60.10,53.32,2,11.34,0.00,18.43,3,13.67,0.00,3.24,5,8.63,0.00,-8.16,4,13.09,0.00,1.92
46,"(0, 3, 4, 6, 5)",68.16,194.42,0,8.74,0.00,44.58,3,12.29,0.00,6.13,4,9.24,0.00,-6.00,6,9.24,68.16,50.76,5,9.95,0.00,-8.02
47,"(1, 4, 5, 0, 6)",134.02,262.29,1,12.11,0.00,32.47,4,7.16,0.00,-1.02,5,7.53,66.00,52.47,0,6.67,0.00,44.08,6,10.81,68.02,49.19
48,"(2, 5, 0, 1, 0)",61.02,323.31,2,11.25,0.00,21.22,5,10.95,61.02,49.05,0,4.17,0.00,48.30,1,5.12,0.00,38.96,0,8.75,0.00,40.43
49,"(3, 0, 1, 2, 1)",0.00,323.31,3,5.15,0.00,16.08,0,10.26,0.00,38.79,1,9.24,0.00,39.06,2,16.65,0.00,22.31,1,10.08,0.00,30.36
