Scenario_ID,Avg_Cost_Per_Step,Missed_SAA_Lookups
0,45.56858803888076,75
1,45.09684704103719,83
2,45.131755852185016,86
3,45.16469668117114,79
4,45.58027922680166,90
5,44.49862497701561,83
6,45.63800514176275,81
7,46.07788429018124,78
8,45.38757246116228,72
9,44.534276113984966,79
10,45.37800830351658,108
11,44.68682024681088,92
12,46.65651051573494,103
13,45.11886730970036,80
14,46.2426768633311,88
15,44.157388257875915,73
16,45.06656011712208,88
17,45.02054956594154,87
18,45.1118184248133,70
19,44.930874148555475,80
20,46.076611363470505,97
21,44.82087847535043,87
22,44.50103701249765,79
23,44.820589926852534,88
24,46.258269378774926,95
25,45.130944589829156,82
26,44.72499991794229,74
27,45.1763164445543,83
28,45.13120946082909,77
29,45.10515939529543,76
30,45.10744102941295,74
31,45.32993987820142,87
32,45.63067039987458,86
33,44.8633044859067,80
34,45.57629056521469,75
35,45.15090376326876,85
36,45.795278065473376,83
37,44.568303466405155,99
38,45.37965439673593,93
39,46.089483224964276,102
40,45.02631111377989,81
41,45.27176270793157,74
42,45.684990945794,89
43,45.45356682180943,98
44,44.2130303370468,75
45,45.28649158877179,84
46,45.55409180241775,90
47,45.32880557105773,95
48,45.327078890512496,78
49,46.078281671108456,76
50,44.569128597103855,75
51,44.488156183568606,87
52,44.48404142131102,74
53,45.44044089584284,81
54,45.52790330526033,89
55,45.88107901871963,82
56,45.4409282007368,81
57,45.62702587646211,94
58,45.27929581957067,90
59,45.518581985920505,92
60,44.77571433765588,64
61,45.73005387364112,74
62,44.89834005857352,87
63,45.58242429773787,87
64,46.30915258704871,87
65,46.34992666492801,88
66,44.83899631129468,87
67,46.235204112701226,69
68,45.475940919458736,88
69,45.81736383874594,86
70,45.16221567351683,79
71,44.493315329331395,71
72,45.31120374259824,65
73,44.74213820601573,75
74,45.81731163810716,79
75,45.1557240079405,70
76,44.56233767464169,85
77,44.982229683746795,71
78,45.914253388024505,62
79,45.07035565583804,78
80,45.42283562226243,92
81,45.09782166547558,93
82,44.49607945580739,68
83,45.66129694609986,50
84,45.90621372277676,68
85,45.62946965138949,70
86,45.91356343923035,78
87,45.30600063855662,92
88,45.3891375665411,77
89,44.36044354735595,94
90,44.44310903208224,76
91,44.92043783617752,87
92,45.400126640254996,92
93,44.35018858442823,65
94,46.145928355257894,84
95,45.37580226325919,77

Metric,Value
Total_Avg_Cost,45.2792660264757
Std_Dev,0.5400392486045433
CI_95_Lower,45.16984390464551
CI_95_Upper,45.388688148305896
