Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After
0,"(0,)",0.00,0.00,0,62.85,0.00,237.15
1,"(1,)",0.00,0.00,1,53.15,0.00,184.00
2,"(2,)",0.00,0.00,2,54.11,0.00,129.89
3,"(3,)",0.00,0.00,3,45.55,0.00,84.34
4,"(4,)",0.00,0.00,4,63.47,0.00,20.87
5,"(5,)",0.00,0.00,5,49.14,0.00,-28.27
6,"(6,)",328.27,328.27,6,45.09,328.27,254.91
7,"(0,)",0.00,0.00,0,39.42,0.00,215.49
8,"(1,)",0.00,0.00,1,49.65,0.00,165.84
9,"(2,)",0.00,0.00,2,52.25,0.00,113.59
10,"(3,)",0.00,0.00,3,59.75,0.00,53.84
11,"(4,)",0.00,0.00,4,39.95,0.00,13.88
12,"(5,)",0.00,0.00,5,45.67,0.00,-31.79
13,"(6,)",331.79,331.79,6,57.83,331.79,242.17
14,"(0,)",0.00,0.00,0,61.89,0.00,180.29
15,"(1,)",0.00,0.00,1,45.06,0.00,135.23
16,"(2,)",0.00,0.00,2,46.30,0.00,88.93
17,"(3,)",0.00,0.00,3,63.63,0.00,25.29
18,"(4,)",0.00,0.00,4,42.83,0.00,-17.54
19,"(5,)",317.54,317.54,5,61.02,317.54,238.98
20,"(0,)",0.00,0.00,0,55.25,0.00,183.73
21,"(1,)",0.00,0.00,1,52.66,0.00,131.07
22,"(2,)",0.00,0.00,2,65.21,0.00,65.86
23,"(3,)",0.00,0.00,3,48.02,0.00,17.84
24,"(4,)",0.00,0.00,4,43.30,0.00,-25.46
25,"(5,)",325.46,325.46,5,40.97,325.46,259.03
26,"(0,)",0.00,0.00,0,60.18,0.00,198.85
27,"(1,)",0.00,0.00,1,50.15,0.00,148.71
28,"(2,)",0.00,0.00,2,54.86,0.00,93.85
29,"(3,)",0.00,0.00,3,59.18,0.00,34.67
30,"(4,)",0.00,0.00,4,52.67,0.00,-18.00
31,"(5,)",318.00,318.00,5,55.11,318.00,244.89
32,"(0,)",0.00,0.00,0,39.14,0.00,205.74
33,"(1,)",0.00,0.00,1,59.06,0.00,146.68
34,"(2,)",0.00,0.00,2,36.56,0.00,110.13
35,"(3,)",0.00,0.00,3,45.91,0.00,64.22
36,"(4,)",0.00,0.00,4,39.85,0.00,24.37
37,"(5,)",0.00,0.00,5,47.90,0.00,-23.53
38,"(6,)",323.53,323.53,6,62.77,323.53,237.23
39,"(0,)",0.00,0.00,0,49.10,0.00,188.13
40,"(1,)",0.00,0.00,1,49.45,0.00,138.67
41,"(2,)",0.00,0.00,2,47.01,0.00,91.67
42,"(3,)",0.00,0.00,3,46.12,0.00,45.54
43,"(4,)",0.00,0.00,4,48.80,0.00,-3.26
44,"(5,)",303.26,303.26,5,46.93,303.26,253.07
45,"(0,)",0.00,0.00,0,50.00,0.00,203.07
46,"(1,)",0.00,0.00,1,42.08,0.00,160.98
47,"(2,)",0.00,0.00,2,40.84,0.00,120.15
48,"(3,)",0.00,0.00,3,47.30,0.00,72.85
49,"(4,)",0.00,0.00,4,50.48,0.00,22.37
