Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After
0,"(0, 0)",0.00,0.00,0,30.69,0.00,119.31,0,25.56,0.00,124.44
1,"(1, 1)",0.00,0.00,1,23.78,0.00,95.53,1,19.29,0.00,105.15
2,"(2, 2)",0.00,0.00,2,25.88,0.00,69.65,2,26.81,0.00,78.34
3,"(3, 3)",0.00,0.00,3,26.42,0.00,43.22,3,21.55,0.00,56.80
4,"(4, 4)",0.00,0.00,4,26.47,0.00,16.75,4,17.90,0.00,38.89
5,"(5, 5)",0.00,0.00,5,26.32,0.00,-9.57,5,23.21,0.00,15.68
6,"(6, 6)",159.57,159.57,6,27.05,159.57,122.95,6,25.40,0.00,-9.72
7,"(0, 7)",159.72,319.29,0,18.00,0.00,104.95,7,21.84,159.72,128.16
8,"(1, 0)",0.00,319.29,1,26.33,0.00,78.62,0,25.76,0.00,102.40
9,"(2, 1)",0.00,319.29,2,15.25,0.00,63.37,1,22.60,0.00,79.80
10,"(3, 2)",0.00,319.29,3,25.81,0.00,37.56,2,27.84,0.00,51.95
11,"(4, 3)",0.00,159.72,4,23.17,0.00,14.39,3,26.94,0.00,25.01
12,"(5, 4)",0.00,0.00,5,23.61,0.00,-9.22,4,26.59,0.00,-1.58
13,"(6, 5)",310.79,310.79,6,17.89,159.22,132.11,5,26.13,151.58,123.87
14,"(0, 0)",0.00,310.79,0,22.41,0.00,109.70,0,22.12,0.00,101.76
15,"(1, 1)",0.00,310.79,1,20.27,0.00,89.43,1,23.43,0.00,78.33
16,"(2, 2)",0.00,310.79,2,27.57,0.00,61.87,2,22.08,0.00,56.25
17,"(3, 3)",0.00,310.79,3,15.56,0.00,46.30,3,23.33,0.00,32.91
18,"(4, 4)",0.00,0.00,4,24.91,0.00,21.40,4,27.75,0.00,5.17
19,"(5, 5)",0.00,0.00,5,26.56,0.00,-5.17,5,32.60,0.00,-27.43
20,"(6, 6)",332.60,332.60,6,23.05,155.17,126.95,6,32.27,177.43,117.73
21,"(0, 0)",0.00,332.60,0,33.17,0.00,93.78,0,34.86,0.00,82.87
22,"(1, 1)",0.00,332.60,1,25.17,0.00,68.60,1,33.71,0.00,49.16
23,"(2, 2)",0.00,332.60,2,27.84,0.00,40.76,2,18.66,0.00,30.50
24,"(3, 3)",0.00,332.60,3,15.25,0.00,25.52,3,29.23,0.00,1.27
25,"(4, 4)",0.00,0.00,4,24.96,0.00,0.56,4,20.46,0.00,-19.20
26,"(5, 5)",169.20,169.20,5,32.84,0.00,-32.27,5,20.18,169.20,129.82
27,"(6, 0)",182.27,351.47,6,29.91,182.27,120.09,0,22.96,0.00,106.86
28,"(0, 1)",0.00,351.47,0,24.33,0.00,95.76,1,26.82,0.00,80.05
29,"(1, 2)",0.00,351.47,1,26.79,0.00,68.97,2,26.03,0.00,54.02
30,"(2, 3)",0.00,351.47,2,29.05,0.00,39.92,3,28.03,0.00,25.99
31,"(3, 4)",0.00,182.27,3,19.90,0.00,20.03,4,22.99,0.00,3.00
32,"(4, 5)",0.00,0.00,4,27.95,0.00,-7.92,5,25.44,0.00,-22.44
33,"(5, 6)",330.37,330.37,5,33.27,157.92,116.73,6,26.39,172.44,123.61
34,"(0, 0)",0.00,330.37,0,31.56,0.00,85.18,0,27.83,0.00,95.78
35,"(1, 1)",0.00,330.37,1,27.86,0.00,57.32,1,33.95,0.00,61.83
36,"(2, 2)",0.00,330.37,2,26.77,0.00,30.55,2,23.87,0.00,37.96
37,"(3, 3)",0.00,330.37,3,32.46,0.00,-1.90,3,19.95,0.00,18.01
38,"(4, 4)",151.90,151.90,4,22.05,151.90,127.95,4,29.25,0.00,-11.24
39,"(0, 5)",161.24,313.15,0,19.15,0.00,108.79,5,21.21,161.24,128.79
40,"(1, 0)",0.00,313.15,1,32.89,0.00,75.91,0,25.81,0.00,102.98
41,"(2, 1)",0.00,313.15,2,30.03,0.00,45.88,1,27.44,0.00,75.54
42,"(3, 2)",0.00,313.15,3,24.28,0.00,21.60,2,21.97,0.00,53.57
43,"(4, 3)",0.00,161.24,4,19.92,0.00,1.68,3,27.19,0.00,26.38
44,"(5, 4)",0.00,0.00,5,28.06,0.00,-26.38,4,33.67,0.00,-7.30
45,"(6, 5)",333.68,333.68,6,29.57,176.38,120.43,5,19.15,157.30,130.85
46,"(0, 0)",0.00,333.68,0,24.54,0.00,95.89,0,19.25,0.00,111.60
47,"(1, 1)",0.00,333.68,1,25.31,0.00,70.58,1,27.13,0.00,84.47
48,"(2, 2)",0.00,333.68,2,31.86,0.00,38.72,2,21.81,0.00,62.66
49,"(3, 3)",0.00,333.68,3,15.89,0.00,22.83,3,19.74,0.00,42.92
