Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
0,"(0, 0, 0, 0, 0)",0.00,0.00,0,2.81,0.00,6.86,0,5.23,0.00,14.12,0,6.09,0.00,32.62,0,14.36,0.00,63.05,0,31.02,0.00,123.82
1,"(1, 1, 1, 1, 1)",0.00,0.00,1,2.83,0.00,4.03,1,2.04,0.00,12.08,1,4.12,0.00,28.50,1,9.92,0.00,53.13,1,24.49,0.00,99.33
2,"(2, 2, 2, 2, 2)",0.00,0.00,2,2.10,0.00,1.93,2,5.00,0.00,7.08,2,6.83,0.00,21.68,2,21.10,0.00,32.03,2,26.72,0.00,72.61
3,"(3, 3, 3, 3, 3)",0.00,0.00,3,1.67,0.00,0.26,3,3.59,0.00,3.49,3,6.41,0.00,15.27,3,13.30,0.00,18.73,3,23.79,0.00,48.82
4,"(4, 4, 4, 4, 4)",0.00,0.00,4,0.91,0.00,-0.65,4,1.03,0.00,2.46,4,6.19,0.00,9.07,4,14.43,0.00,4.29,4,17.49,0.00,31.33
5,"(5, 5, 5, 5, 5)",10.32,10.32,5,0.94,10.32,8.74,5,3.64,0.00,-1.18,5,11.19,0.00,-2.11,5,13.27,0.00,-8.98,5,31.32,0.00,0.01
6,"(0, 6, 6, 6, 6)",147.75,147.75,0,2.99,0.00,5.75,6,1.70,20.53,17.66,6,2.57,40.82,36.14,6,7.82,86.40,69.60,6,26.16,0.00,-26.15
7,"(1, 0, 0, 0, 7)",180.99,180.99,1,1.02,0.00,4.73,0,5.38,0.00,12.28,0,4.62,0.00,31.51,0,19.83,0.00,49.76,7,22.19,180.99,132.65
8,"(2, 1, 1, 1, 0)",0.00,0.00,2,1.79,0.00,2.94,1,0.77,0.00,11.51,1,5.85,0.00,25.67,1,14.23,0.00,35.53,0,26.82,0.00,105.84
9,"(3, 2, 2, 2, 1)",0.00,0.00,3,3.81,0.00,-0.87,2,1.45,0.00,10.06,2,7.53,0.00,18.14,2,8.69,0.00,26.84,1,17.05,0.00,88.78
10,"(4, 3, 3, 3, 2)",10.55,10.55,4,4.03,10.55,5.65,3,2.36,0.00,7.70,3,7.09,0.00,11.05,3,9.55,0.00,17.29,2,24.67,0.00,64.12
11,"(0, 4, 4, 4, 3)",0.00,0.00,0,0.73,0.00,4.92,4,6.08,0.00,1.62,4,4.89,0.00,6.16,4,12.36,0.00,4.93,3,20.29,0.00,43.82
12,"(1, 5, 5, 5, 4)",0.00,0.00,1,1.47,0.00,3.45,5,1.71,0.00,-0.09,5,7.87,0.00,-1.71,5,14.91,0.00,-9.97,4,24.64,0.00,19.18
13,"(2, 6, 6, 6, 5)",147.26,147.26,2,0.05,0.00,3.40,6,4.86,19.45,14.50,6,11.88,40.42,26.83,6,13.06,87.39,64.36,5,33.34,0.00,-14.16
14,"(3, 0, 0, 0, 6)",168.99,168.99,3,2.93,0.00,0.47,0,4.47,0.00,10.02,0,10.63,0.00,16.20,0,15.55,0.00,48.81,6,24.18,168.99,130.66
15,"(4, 1, 1, 1, 0)",0.00,0.00,4,3.50,0.00,-3.03,1,3.47,0.00,6.55,1,10.80,0.00,5.41,1,15.59,0.00,33.22,0,28.37,0.00,102.29
16,"(5, 2, 2, 2, 1)",12.70,12.70,5,2.61,12.70,7.07,2,4.57,0.00,1.98,2,8.19,0.00,-2.79,2,15.81,0.00,17.41,1,18.25,0.00,84.04
17,"(0, 3, 3, 3, 2)",41.49,41.49,0,2.06,0.00,5.00,3,5.24,0.00,-3.26,3,10.31,41.49,28.40,3,16.01,0.00,1.40,2,27.32,0.00,56.72
18,"(1, 4, 0, 4, 3)",22.61,22.61,1,2.19,0.00,2.81,4,3.84,22.61,15.52,0,5.21,0.00,23.19,4,13.20,0.00,-11.81,3,31.18,0.00,25.54
19,"(2, 0, 1, 5, 4)",89.23,89.23,2,0.57,0.00,2.24,0,0.79,0.00,14.73,1,7.71,0.00,15.49,5,5.34,89.23,72.08,4,24.20,0.00,1.34
20,"(3, 1, 2, 0, 5)",0.00,0.00,3,0.90,0.00,1.34,1,4.69,0.00,10.03,2,5.82,0.00,9.66,0,18.52,0.00,53.56,5,27.92,0.00,-26.58
21,"(4, 2, 3, 1, 6)",181.42,181.42,4,1.46,0.00,-0.12,2,4.47,0.00,5.57,3,8.65,0.00,1.01,1,14.30,0.00,39.26,6,27.87,181.42,126.97
22,"(5, 3, 4, 2, 0)",9.80,9.80,5,4.46,9.80,5.22,3,1.77,0.00,3.80,4,10.17,0.00,-9.16,2,10.80,0.00,28.46,0,26.90,0.00,100.07
23,"(0, 4, 5, 3, 1)",47.87,47.87,0,1.89,0.00,3.33,4,4.07,0.00,-0.27,5,9.75,47.87,28.96,3,15.35,0.00,13.11,1,20.52,0.00,79.55
24,"(1, 5, 0, 4, 2)",19.62,19.62,1,1.21,0.00,2.12,5,2.95,19.62,16.40,0,8.47,0.00,20.49,4,4.77,0.00,8.33,2,24.99,0.00,54.56
25,"(2, 0, 1, 5, 3)",0.00,0.00,2,0.94,0.00,1.18,0,7.35,0.00,9.05,1,8.40,0.00,12.09,5,18.43,0.00,-10.10,3,29.49,0.00,25.07
26,"(3, 1, 2, 6, 4)",87.52,87.52,3,2.67,0.00,-1.49,1,3.03,0.00,6.02,2,8.79,0.00,3.30,6,11.20,87.52,66.22,4,25.46,0.00,-0.39
27,"(4, 2, 3, 0, 5)",166.40,166.40,4,2.61,11.17,7.06,2,2.98,0.00,3.04,3,8.25,0.00,-4.95,0,11.30,0.00,54.92,5,22.74,155.23,132.10
28,"(0, 3, 4, 1, 0)",43.66,43.66,0,1.30,0.00,5.76,3,3.99,0.00,-0.95,4,9.39,43.66,29.32,1,9.15,0.00,45.77,0,26.43,0.00,105.67
29,"(1, 4, 0, 2, 1)",20.30,20.30,1,2.38,0.00,3.38,4,2.58,20.30,16.77,0,8.77,0.00,20.55,2,15.63,0.00,30.14,1,24.93,0.00,80.74
30,"(2, 0, 1, 3, 2)",0.00,0.00,2,0.99,0.00,2.39,0,2.34,0.00,14.43,1,8.65,0.00,11.90,3,15.00,0.00,15.15,2,26.97,0.00,53.77
31,"(3, 1, 2, 4, 3)",0.00,0.00,3,1.84,0.00,0.55,1,2.78,0.00,11.65,2,2.62,0.00,9.28,4,15.63,0.00,-0.49,3,17.97,0.00,35.80
32,"(4, 2, 3, 5, 4)",77.91,77.91,4,3.74,0.00,-3.19,2,5.57,0.00,6.08,3,7.75,0.00,1.53,5,12.85,77.91,64.57,4,20.84,0.00,14.96
33,"(5, 3, 4, 0, 5)",12.87,12.87,5,1.50,12.87,8.18,3,3.07,0.00,3.01,4,5.64,0.00,-4.12,0,15.11,0.00,49.45,5,23.27,0.00,-8.31
34,"(0, 4, 5, 1, 6)",205.97,205.97,0,2.71,0.00,5.47,4,3.03,0.00,-0.02,5,7.09,42.83,31.62,1,8.94,0.00,40.51,6,34.22,163.15,120.61
35,"(1, 5, 0, 2, 0)",19.38,19.38,1,1.32,0.00,4.15,5,4.03,19.38,15.32,0,2.94,0.00,28.69,2,17.63,0.00,22.88,0,20.45,0.00,100.17
36,"(2, 0, 1, 3, 1)",0.00,0.00,2,1.18,0.00,2.97,0,5.14,0.00,10.18,1,3.44,0.00,25.25,3,12.99,0.00,9.88,1,26.68,0.00,73.48
37,"(3, 1, 2, 4, 2)",0.00,0.00,3,1.21,0.00,1.76,1,3.00,0.00,7.18,2,4.41,0.00,20.84,4,11.82,0.00,-1.93,2,24.34,0.00,49.14
38,"(4, 2, 3, 5, 3)",79.35,79.35,4,0.38,0.00,1.37,2,0.22,0.00,6.97,3,6.52,0.00,14.32,5,13.27,79.35,64.15,3,24.59,0.00,24.55
39,"(5, 3, 4, 0, 4)",0.00,0.00,5,1.33,0.00,0.05,3,2.80,0.00,4.17,4,6.49,0.00,7.83,0,14.97,0.00,49.18,4,16.96,0.00,7.59
40,"(6, 4, 5, 1, 5)",0.00,0.00,6,0.61,0.00,-0.57,4,8.46,0.00,-4.29,5,2.11,0.00,5.71,1,16.35,0.00,32.83,5,19.45,0.00,-11.86
41,"(7, 5, 6, 2, 6)",200.60,200.60,7,0.63,10.25,9.04,5,3.05,23.65,16.31,6,6.19,0.00,-0.47,2,16.17,0.00,16.66,6,31.14,166.70,123.70
42,"(0, 0, 7, 3, 0)",39.18,39.18,0,0.95,0.00,8.09,0,2.63,0.00,13.68,7,5.45,39.18,33.26,3,17.49,0.00,-0.83,0,24.70,0.00,99.00
43,"(1, 1, 0, 4, 1)",78.24,78.24,1,1.90,0.00,6.19,1,5.58,0.00,8.10,0,3.08,0.00,30.17,4,14.83,78.24,62.59,1,17.00,0.00,82.00
44,"(2, 2, 1, 0, 2)",0.00,0.00,2,2.43,0.00,3.76,2,2.96,0.00,5.14,1,7.04,0.00,23.13,0,8.13,0.00,54.45,2,24.18,0.00,57.83
45,"(3, 3, 2, 1, 3)",0.00,0.00,3,3.77,0.00,-0.01,3,4.65,0.00,0.50,2,6.73,0.00,16.40,1,11.10,0.00,43.36,3,30.25,0.00,27.57
46,"(4, 4, 3, 2, 4)",9.68,9.68,4,1.55,9.68,8.13,4,3.61,0.00,-3.11,3,8.19,0.00,8.21,2,17.31,0.00,26.05,4,25.35,0.00,2.23
47,"(0, 5, 4, 3, 5)",22.47,22.47,0,0.68,0.00,7.45,5,4.57,22.47,14.79,4,9.54,0.00,-1.34,3,16.27,0.00,9.78,5,20.77,0.00,-18.54
48,"(1, 0, 5, 4, 6)",213.43,213.43,1,0.92,0.00,6.54,0,2.91,0.00,11.88,5,6.56,40.05,32.15,4,7.56,0.00,2.22,6,24.23,173.38,130.60
49,"(2, 1, 0, 5, 0)",0.00,0.00,2,0.95,0.00,5.58,1,3.83,0.00,8.05,0,4.05,0.00,28.10,5,14.74,0.00,-12.52,0,26.76,0.00,103.84
