Scenario_ID,Avg_Cost_Per_Step,Missed_SAA_Lookups
0,41.27713277252618,0
1,41.42795829981137,0
2,40.75105861882711,0
3,41.73691271104128,0
4,41.85810173853889,0
5,41.28210157087553,0
6,41.363051111731735,0
7,40.75328404631031,0
8,41.7512966603132,0
9,42.14475207840323,0
10,41.02435023080334,0
11,42.92155382185591,0
12,41.587661417428954,0
13,42.962763551952904,0
14,41.75144034251462,0
15,42.078637519188135,0
16,41.87826950350484,0
17,40.38744765175245,0
18,41.75375587089283,0
19,41.499184823212985,0
20,41.6953103676763,0
21,41.20418291112362,0
22,41.78557428002445,0
23,40.95085829478005,0
24,40.96345565095924,0
25,41.03048284920299,0
26,41.31403317118506,0
27,41.31581492299096,0
28,40.878664852455316,0
29,41.61907508258987,0
30,41.18067760424786,0
31,41.274505973774225,0
32,40.64326166469031,0
33,42.21193810289897,0
34,41.01830280232807,0
35,42.2847430127797,0
36,41.85121381355712,0
37,41.62339060081523,0
38,42.22545707213245,0
39,41.75360227671966,0
40,42.387126817849115,0
41,40.31274844666787,0
42,42.534496217061566,0
43,41.83158782202961,0
44,41.53442627181407,0
45,40.91507323861449,0
46,41.23818650007759,0
47,40.87440507276721,0
48,41.71620137510486,0
49,42.311763177808984,0
50,42.62754307319021,0
51,41.584355879860915,0
52,41.78800702865398,0
53,41.15204427890475,0
54,42.08291200149122,0
55,41.45779704023782,0
56,42.044193579967796,0
57,42.57710420328134,0
58,41.60676492910025,0
59,40.99877904871602,0
60,41.78484846133686,0
61,40.70956496727252,0
62,41.00674442503799,0
63,41.86250812333189,0
64,41.710234670506416,0
65,40.95426264745595,0
66,41.57302565342605,0
67,41.62553801059084,0
68,42.60434423119027,0
69,41.03584868447313,0
70,41.25318779094331,0
71,41.20610481776511,0
72,41.34181247648499,0
73,41.79039421197494,0
74,42.01452480189438,0
75,42.092188135195045,0
76,42.06776165894587,0
77,42.0817631988191,0
78,41.304214196285834,0
79,41.01301636988273,0
80,41.521239935952934,0
81,40.910717400187345,0
82,41.01336236658981,0
83,41.70947037733583,0
84,41.2966497584176,0
85,41.418091247867586,0
86,41.386014709592324,0
87,41.51334204320524,0
88,41.4965551575187,0
89,41.565061361540316,0
90,41.89868833699752,0
91,42.292221296133846,0
92,41.44002527955649,0
93,41.654380503567516,0
94,41.68525769152757,0
95,42.34691940756619,0

Metric,Value
Total_Avg_Cost,41.57052770893736
Std_Dev,0.5351669385436756
CI_95_Lower,41.46209280888124
CI_95_Upper,41.67896260899349
