State,Baseline_Value
"[0, 0]",0.000000
"[0, 1]",0.000000
"[0, 2]",0.000000
"[0, 3]",0.000000
"[0, 4]",0.000000
"[0, 5]",211.740000
"[0, 6]",230.780000
"[0, 7]",234.370000
"[0, 8]",234.370000
"[0, 9]",234.370000
"[1, 0]",0.000000
"[1, 1]",0.000000
"[1, 2]",0.000000
"[1, 3]",0.000000
"[1, 4]",0.000000
"[1, 5]",211.610000
"[1, 6]",230.850000
"[1, 7]",233.540000
"[1, 8]",234.370000
"[1, 9]",234.370000
"[2, 0]",0.000000
"[2, 1]",0.000000
"[2, 2]",0.000000
"[2, 3]",0.000000
"[2, 4]",0.000000
"[2, 5]",211.430000
"[2, 6]",230.780000
"[2, 7]",234.460000
"[2, 8]",233.540000
"[2, 9]",234.370000
"[3, 0]",0.000000
"[3, 1]",0.000000
"[3, 2]",0.000000
"[3, 3]",0.000000
"[3, 4]",0.000000
"[3, 5]",211.660000
"[3, 6]",230.750000
"[3, 7]",234.140000
"[3, 8]",234.460000
"[3, 9]",233.540000
"[4, 0]",0.000000
"[4, 1]",0.000000
"[4, 2]",0.000000
"[4, 3]",0.000000
"[4, 4]",0.000000
"[4, 5]",212.210000
"[4, 6]",231.510000
"[4, 7]",235.550000
"[4, 8]",235.060000
"[4, 9]",234.460000
"[5, 0]",107.570000
"[5, 1]",107.510000
"[5, 2]",107.570000
"[5, 3]",107.400000
"[5, 4]",107.600000
"[5, 5]",308.580000
"[5, 6]",332.280000
"[5, 7]",335.540000
"[5, 8]",235.550000
"[5, 9]",235.060000
"[6, 0]",114.940000
"[6, 1]",114.810000
"[6, 2]",114.900000
"[6, 3]",114.930000
"[6, 4]",115.000000
"[6, 5]",321.460000
"[6, 6]",341.390000
"[6, 7]",345.460000
"[6, 8]",335.540000
"[6, 9]",235.550000
"[7, 0]",116.700000
"[7, 1]",116.870000
"[7, 2]",117.040000
"[7, 3]",116.720000
"[7, 4]",116.710000
"[7, 5]",324.440000
"[7, 6]",344.060000
"[7, 7]",348.950000
"[7, 8]",345.460000
"[7, 9]",335.540000
"[8, 0]",115.950000
"[8, 1]",116.920000
"[8, 2]",117.530000
"[8, 3]",117.200000
"[8, 4]",117.820000
"[8, 5]",327.260000
"[8, 6]",344.850000
"[8, 7]",344.060000
"[8, 8]",348.950000
"[8, 9]",345.460000
"[9, 0]",115.950000
"[9, 1]",115.950000
"[9, 2]",119.160000
"[9, 3]",117.530000
"[9, 4]",117.200000
"[9, 5]",117.820000
"[9, 6]",327.260000
"[9, 7]",344.850000
"[9, 8]",344.060000
"[9, 9]",348.950000
"[10, 0]",115.950000
"[10, 1]",115.950000
"[10, 2]",115.950000
"[10, 3]",119.160000
"[10, 4]",117.530000
"[10, 5]",117.200000
"[10, 6]",117.820000
"[10, 7]",327.260000
"[10, 8]",344.850000
"[10, 9]",344.060000
