Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
31,"(3, 3, 2, 4, 0)",0.00,0.00,3,11.49,0.00,6.89,3,8.76,0.00,18.61,2,9.51,0.00,12.48,4,13.44,0.00,-9.66,0,11.49,0.00,36.80
32,"(4, 4, 3, 5, 1)",69.66,69.66,4,9.33,0.00,-2.44,4,9.46,0.00,9.15,3,5.97,0.00,6.51,5,10.09,69.66,49.91,1,8.62,0.00,28.18
33,"(5, 5, 4, 0, 2)",62.44,62.44,5,13.09,62.44,46.91,5,9.03,0.00,0.12,4,10.70,0.00,-4.19,0,7.31,0.00,42.60,2,10.46,0.00,17.72
34,"(0, 6, 5, 1, 3)",64.19,64.19,0,12.43,0.00,34.49,6,2.15,0.00,-2.04,5,0.89,64.19,59.11,1,9.06,0.00,33.54,3,15.81,0.00,1.91
35,"(1, 7, 0, 2, 4)",62.04,62.04,1,4.13,0.00,30.35,7,6.10,62.04,53.90,0,18.18,0.00,40.92,2,9.45,0.00,24.09,4,11.86,0.00,-9.95
36,"(2, 0, 1, 3, 5)",69.95,69.95,2,12.30,0.00,18.05,0,7.60,0.00,46.29,1,10.88,0.00,30.04,3,10.74,0.00,13.35,5,8.86,69.95,51.14
37,"(3, 1, 2, 4, 0)",0.00,0.00,3,14.02,0.00,4.03,1,8.01,0.00,38.28,2,7.21,0.00,22.83,4,8.72,0.00,4.63,0,5.90,0.00,45.24
38,"(4, 2, 3, 5, 1)",0.00,0.00,4,18.86,0.00,-14.83,2,12.02,0.00,26.26,3,11.77,0.00,11.06,5,5.66,0.00,-1.03,1,11.46,0.00,33.78
39,"(5, 3, 4, 6, 2)",135.86,135.86,5,12.64,74.83,47.36,3,12.41,0.00,13.86,4,12.31,0.00,-1.25,6,5.25,61.03,54.75,2,6.63,0.00,27.15
40,"(0, 4, 5, 0, 3)",61.25,61.25,0,11.00,0.00,36.36,4,11.09,0.00,2.77,5,5.81,61.25,54.19,0,11.21,0.00,43.54,3,12.77,0.00,14.38
41,"(1, 5, 0, 1, 4)",0.00,0.00,1,14.91,0.00,21.45,5,12.60,0.00,-9.83,0,7.01,0.00,47.18,1,1.56,0.00,41.98,4,8.52,0.00,5.86
42,"(2, 6, 1, 2, 5)",69.83,69.83,2,8.36,0.00,13.09,6,11.93,69.83,48.07,1,18.19,0.00,28.99,2,13.47,0.00,28.51,5,7.88,0.00,-2.02
43,"(3, 0, 2, 3, 6)",62.02,62.02,3,7.69,0.00,5.40,0,11.39,0.00,36.69,2,9.32,0.00,19.68,3,13.38,0.00,15.13,6,15.05,62.02,44.95
44,"(4, 1, 3, 4, 0)",0.00,0.00,4,7.82,0.00,-2.41,1,8.40,0.00,28.28,3,8.21,0.00,11.47,4,13.49,0.00,1.64,0,3.98,0.00,40.96
45,"(5, 2, 4, 5, 1)",62.41,62.41,5,10.02,62.41,49.98,2,11.75,0.00,16.53,4,7.76,0.00,3.71,5,11.05,0.00,-9.42,1,16.17,0.00,24.79
46,"(0, 3, 5, 6, 2)",69.42,69.42,0,13.33,0.00,36.65,3,15.01,0.00,1.52,5,11.38,0.00,-7.67,6,5.38,69.42,54.62,2,10.89,0.00,13.91
47,"(1, 4, 6, 0, 3)",67.67,67.67,1,5.35,0.00,31.30,4,9.08,0.00,-7.56,6,13.91,67.67,46.09,0,13.42,0.00,41.20,3,9.58,0.00,4.33
48,"(2, 5, 0, 1, 4)",67.56,67.56,2,9.42,0.00,21.88,5,19.17,67.56,40.83,0,15.19,0.00,30.90,1,8.16,0.00,33.05,4,11.99,0.00,-7.66
49,"(3, 0, 1, 2, 5)",67.66,67.66,3,8.58,0.00,13.30,0,9.75,0.00,31.08,1,7.12,0.00,23.77,2,9.00,0.00,24.05,5,13.80,67.66,46.20
