Scenario_ID,Avg_Cost_Per_Step,Missed_SAA_Lookups
0,40.20685600846103,77
1,40.409199627763876,97
2,40.15107450753908,87
3,39.78684077953313,83
4,39.821103058124336,82
5,39.87031788420889,90
6,40.99313552958105,87
7,40.90294751769748,71
8,40.44501294000159,83
9,40.23260250687204,78
10,40.361682992447165,105
11,39.83680734447977,88
12,41.62995319039685,92
13,40.15688884431074,81
14,40.75594193698433,108
15,39.1872758904616,67
16,40.05828804675422,79
17,40.65945078883298,70
18,39.953575178893466,73
19,39.8825949609193,82
20,40.817490603341504,100
21,40.30191231687027,83
22,39.67860112921418,88
23,39.85504439860461,88
24,41.304763950669646,87
25,40.29978772804385,86
26,39.50942182247807,71
27,40.55840557298067,86
28,39.67330267332285,82
29,40.30506179969499,69
30,40.25828468254998,79
31,40.61539396797378,68
32,40.0302973484369,100
33,40.65995246794576,90
34,39.86306008890707,80
35,40.73231862878109,85
36,40.31347951904139,96
37,39.79445003618731,89
38,40.98040932731681,86
39,40.817525059366545,108
40,40.15513575827355,91
41,40.274415569446255,73
42,40.33281128632551,91
43,39.892089415488485,77
44,39.452379939692904,83
45,40.83303624120228,91
46,40.62550839804505,76
47,39.942809979460186,85
48,40.73838908047869,80
49,41.133539264713775,95
50,39.826081386905635,83
51,39.75891942717683,78
52,39.68294642689639,82
53,40.68402620491103,99
54,41.28790532540129,88
55,41.112573361729304,82
56,39.95818912919304,79
57,40.40828733152624,95
58,40.402771021150485,82
59,40.55656220959917,88
60,40.52179787384972,65
61,40.348501160499396,78
62,39.58616761533159,97
63,40.61997120141866,85
64,40.79206202514631,77
65,40.32413824697028,96
66,40.35680278370867,83
67,40.766923956230734,77
68,40.67795126327915,102
69,40.12647622826542,74
70,40.17952126558188,77
71,39.57445671605061,71
72,40.978280732849456,70
73,40.64221291353242,93
74,40.62949831712115,95
75,40.43187643320691,78
76,40.22954708558746,77
77,40.18572402422662,80
78,41.2865313586683,83
79,39.80008083593541,62
80,40.61512537703016,88
81,39.72785628004749,77
82,39.495890083106616,76
83,39.893257341194165,72
84,40.82742245784058,65
85,40.023906161520216,79
86,40.712139651353375,81
87,40.73317285395522,95
88,40.75061024934407,89
89,39.25328615113554,102
90,39.99590159482346,71
91,40.17923793492221,87
92,41.01688184370006,107
93,39.78916998613901,89
94,40.28652240025155,86
95,40.0928517274509,80

Metric,Value
Total_Avg_Cost,40.31438170359251
Std_Dev,0.4924228506109795
CI_95_Lower,40.21460756071168
CI_95_Upper,40.41415584647334
