Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After
0,"(0, 0)",0.00,0.00,0,24.37,0.00,75.63,0,49.07,0.00,150.93
1,"(1, 1)",0.00,0.00,1,14.09,0.00,61.54,1,39.55,0.00,111.38
2,"(2, 2)",0.00,0.00,2,11.26,0.00,50.28,2,42.55,0.00,68.83
3,"(3, 3)",0.00,0.00,3,9.96,0.00,40.32,3,38.11,0.00,30.72
4,"(4, 4)",0.00,0.00,4,17.88,0.00,22.44,4,35.74,0.00,-5.03
5,"(5, 5)",205.03,205.03,5,13.45,0.00,8.99,5,37.61,205.03,162.39
6,"(6, 0)",0.00,0.00,6,15.10,0.00,-6.11,0,49.21,0.00,113.18
7,"(7, 1)",106.11,106.11,7,10.88,106.11,89.12,1,28.84,0.00,84.34
8,"(0, 2)",0.00,0.00,0,15.98,0.00,73.14,2,29.77,0.00,54.57
9,"(1, 3)",0.00,0.00,1,16.26,0.00,56.88,3,29.55,0.00,25.01
10,"(2, 4)",0.00,0.00,2,23.03,0.00,33.84,4,34.84,0.00,-9.83
11,"(3, 5)",209.83,209.83,3,13.86,0.00,19.98,5,36.39,209.83,163.61
12,"(4, 0)",0.00,0.00,4,10.18,0.00,9.80,0,32.42,0.00,131.18
13,"(5, 1)",0.00,0.00,5,16.93,0.00,-7.13,1,31.16,0.00,100.02
14,"(6, 2)",107.13,107.13,6,23.03,107.13,76.97,2,37.27,0.00,62.75
15,"(0, 3)",0.00,0.00,0,17.22,0.00,59.75,3,31.22,0.00,31.53
16,"(1, 4)",0.00,0.00,1,16.99,0.00,42.76,4,34.27,0.00,-2.73
17,"(2, 5)",202.73,202.73,2,16.35,0.00,26.41,5,32.49,202.73,167.51
18,"(3, 0)",0.00,0.00,3,14.03,0.00,12.39,0,32.50,0.00,135.00
19,"(4, 1)",0.00,0.00,4,14.93,0.00,-2.55,1,32.37,0.00,102.63
20,"(5, 2)",102.55,102.55,5,8.27,102.55,91.73,2,26.82,0.00,75.81
21,"(0, 3)",0.00,0.00,0,18.69,0.00,73.04,3,32.27,0.00,43.55
22,"(1, 4)",0.00,0.00,1,16.03,0.00,57.01,4,32.66,0.00,10.88
23,"(2, 5)",0.00,0.00,2,14.51,0.00,42.50,5,35.45,0.00,-24.57
24,"(3, 6)",224.57,224.57,3,11.42,0.00,31.07,6,33.69,224.57,166.31
25,"(4, 0)",0.00,0.00,4,14.87,0.00,16.20,0,41.52,0.00,124.80
26,"(5, 1)",0.00,0.00,5,21.97,0.00,-5.77,1,35.69,0.00,89.11
27,"(6, 2)",105.77,105.77,6,17.86,105.77,82.14,2,35.63,0.00,53.48
28,"(0, 3)",0.00,0.00,0,19.89,0.00,62.24,3,30.70,0.00,22.78
29,"(1, 4)",0.00,0.00,1,23.55,0.00,38.69,4,22.79,0.00,-0.01
30,"(2, 5)",200.01,200.01,2,19.55,0.00,19.14,5,29.46,200.01,170.54
31,"(3, 0)",0.00,0.00,3,12.50,0.00,6.65,0,27.91,0.00,142.63
32,"(4, 1)",0.00,0.00,4,14.26,0.00,-7.61,1,33.65,0.00,108.98
33,"(5, 2)",107.61,107.61,5,21.29,107.61,78.71,2,36.92,0.00,72.06
34,"(0, 3)",0.00,0.00,0,4.95,0.00,73.77,3,43.04,0.00,29.02
35,"(1, 4)",0.00,0.00,1,17.68,0.00,56.09,4,26.64,0.00,2.38
36,"(2, 5)",0.00,0.00,2,16.02,0.00,40.07,5,28.38,0.00,-25.99
37,"(3, 6)",225.99,225.99,3,13.12,0.00,26.95,6,32.56,225.99,167.44
38,"(4, 0)",0.00,0.00,4,16.74,0.00,10.21,0,40.72,0.00,126.73
39,"(5, 1)",0.00,0.00,5,16.81,0.00,-6.60,1,36.23,0.00,90.50
40,"(6, 2)",106.60,106.60,6,18.10,106.60,81.90,2,27.56,0.00,62.94
41,"(0, 3)",0.00,0.00,0,16.44,0.00,65.46,3,40.35,0.00,22.59
42,"(1, 4)",0.00,0.00,1,15.61,0.00,49.85,4,23.73,0.00,-1.14
43,"(2, 5)",201.14,201.14,2,13.00,0.00,36.85,5,38.63,201.14,161.37
44,"(3, 0)",0.00,0.00,3,15.26,0.00,21.58,0,38.26,0.00,123.11
45,"(4, 1)",0.00,0.00,4,20.45,0.00,1.13,1,39.24,0.00,83.88
46,"(5, 2)",0.00,0.00,5,23.48,0.00,-22.34,2,31.14,0.00,52.73
47,"(6, 3)",122.34,122.34,6,15.01,122.34,84.99,3,38.26,0.00,14.48
48,"(0, 4)",0.00,0.00,0,11.14,0.00,73.85,4,32.95,0.00,-18.48
49,"(1, 5)",218.48,218.48,1,14.44,0.00,59.40,5,33.08,218.48,166.92
